id,sentiment,reason,confidence,feedback,original_review,category
60,negative,"The review expresses strong dissatisfaction with the music, citing poor vocals, uninspired composition, and overall disappointment.",0.9,Offer a refund or exchange policy for opened merchandise.,"Don't Let the Smooth Taste Fool You&#65533;: It just sounds like the Stone Roses. Vocally, that is. In the aptly titled Unfinished Monkey Business, Mr. Brown gives further creedence to the theory that the whole is greater than the sum of it's parts, and the parts, when parted out, suck. Since we last saw the swaggering Stone Roses front man, we see he may or may not have learned how make use of a Casio keyboard (see track 12), he now practices some form of cool guy martial art (see jacket photos), and probably just put this crap out 'cause he was running low on puss (personal assumption by me). By track six, with some horrid female guest vocalist, any illusion that this record was worth half my 24.85 plus tax was blown. I wonder if they accept opened merchandise for returns.",Service
61,improvement,"The review acknowledges some positive aspects (sound quality) but points out significant flaws (noise-canceling, durability) requiring improvement.",0.85,Improve the noise-canceling feature to eliminate the hiss and enhance its durability.,"not bad, but cheap: got these headphones as a gift about a year ago and just started to use them more frequently. sound quality was better than I thought for what I expected from logitech although I feel the noise-canceling feature was weighted in one ear (the one with the battery) and that produces a hiss which is kind of annoying. Then they started to just fall apart. first a little black square panel. then another piece cracked off. actually have tape on them. Within the next year I'm thinking they'll just turn to dust. There are better headphones out there, but if you are dead set on these they don't sound bad.",Quality
66,negative,"The review expresses extreme dissatisfaction with the movie, criticizing the plot, acting, and overall quality.  It strongly advises against watching it.",0.95,"Revise the plot, improve the acting and zombie makeup effects, and enhance the overall cinematic experience.","No.: This movie makes no sense.The title character is introduced as an immoral zombie-killer, who picks up grieving trophy wife bimbos at the cemetery where he works. Later he transitions into a blubbery psychotic mess over the loss of a chick he knew for two days and didn't even seal the deal with. Only to meet multiples of her, one of whom has a phobia of erections...If you LOVE zombie movies, stay away. The makeup is terrible, the acting is mediocre, plot? What plot? The zombie action is boring. There's no connection with any of the characters and you spend the last 3/4 of the movie hoping everyone dies.",Entertainment Quality
67,negative,"The review expresses strong dissatisfaction, calling the book a ""waste of money"" with ""dated information"" and poor organization. It recommends finding information elsewhere.",0.9,Organize the book by sport and update the information to ensure accuracy and relevance.,Not Worth the Money - Skip It!: This book is a waste of money. It contains dated information and it is not well organized. You could find better data on Google.I was looking for a list of addresses for softball and volleyball players and there is no place in the book to find names that are grouped by sport.Save your money - take a few minutes and look up the information yourself. A real mess!,Book Content
68,negative,"The review expresses disappointment with the product, stating that it is cheap, doesn't work, and falls out of the ear. The reviewer regrets the purchase.",0.92,Improve the earpiece locking mechanism to prevent it from falling out of the ear.,"Don't waste your money: They look cheep and feel cheep and well.. they are cheep but they don't work which is the bottom line. Fitting them onto the jawbone does not lock into place so the ear piece you just spent over a 100bucks for falls out of your ear! It's not worth it since Jawbone gives you five ear buds that lock onto the Jawbone, which fit your snugly in your ear. They also give you a left ear or a right ear bar that lets you choose which works for you. So this product fails and had I'd seen them in person I wouldn't have spent my money on them.",Design
69,negative,"The review expresses disappointment with the book, citing its length and unclear plot points as reasons for dissatisfaction.",0.75,Increase the book's length and clarify the significance of the bear.,"Surprized: I have been a fan of Robert Crais, thats why I was VERY SURPRIZED with The Last Detective. I was dissapointed at its length at first, 300 pages, but James Lee Burke can write a great book in just 300 pages, so, maybe can Crais. I was wrong! Very dissapointing. And what was the bear thing all about?",Design
71,negative,The review expresses concern and criticism.,0.8,Add historical context and future implications to the discussion of the elected official.,"Stone goes easy...: but even that is cutting. You watch and say ""He was elected twice!"" What will future generations say?",Design
74,negative,The review lists numerous defects and strongly advises against purchasing the product.,0.92,"Improve the product's durability by reinforcing the rubber handle, improving the whistle mechanism, and redesigning the lid and refill system for easier use and to prevent burns.  Also, investigate the use of a more durable stainless steel.","Poor quality, like everyone says: I actually purchased two of these. The second was purchased when the whistle stopped working on the first (I thought the broken whisle was my fault because it ran for a few minutes). Both lasted about a year. Here's what's not to like:1) Rubber handle splits along bottom seam2) Whistle stops working after a short while3) Hard to refill with water if hot, steam burns your hand4) Lid difficult to open/close5) ""Stainless steel"" mars easily, does not retain appearance6) Takes forever to boil contents7) Bottom seam leaksMany other reviews echo these same experiences. While it appears to be a nice unit from a company that normally has a good reputation, it is not. Be forewarned, don't but this item.",Quality
75,negative,The review expresses dissatisfaction with the value of the single compared to the album.,0.9,Offer the song as part of an album bundle or promote the full album more prominently.,meh just buy the whole album: which has 11 other songs just as good as this one. Just buying the single is a waste of money.,Price
76,negative,The review contains extremely negative language and expresses intense dislike for the movie.,0.95,No product improvement suggested. This is a movie review and does not relate to a product that can be improved.,"Horrendous: Anybody that would sit through something so stupid like this movie should be shot. I was not one of the other losers I have what they called taste in movies in this day and age and this is just flat out retarted. Its also a shame i have to give this movie 1 star it makes me feel as though i support this shi* in a way. I just wonder if the acting in it could be half as bad as the movie or the plotI wouldnt watch this if i was paid, Wake up America and today's youth",Entertainment Quality
82,negative,"The review expresses extreme dissatisfaction with the movie, criticizing its uniforms, technical aspects, and overall quality.",0.92,Improve the quality of the uniforms and costumes to be historically accurate and visually appealing.,"What the Heck ???: The uniforms were ridiculous, mixing ribbons and stripes on officer's uniforms..the technical advisor should be fired....I had to rewind the movie several times as it put me to sleep...Kevin Sorbo...puleeze don't get roped into making these bovine feces type movies again...a real stinker !!!!!",Quality
84,negative,"While mentioning a CD, the review focuses on expressing the author's belief that a song was plagiarized, showing dissatisfaction.",0.75,Add a disclaimer to the CD acknowledging the musical similarities to The Velvet Underground's 'Murder Mystery'.,[bad deal]: Listin to The velvet underground's Murder Mystery and then listen to chop suey. You can not tell me they didn't rip that intro from the velvets.I Dont care about this CD I just felt like saying that they ripped the velvet underground's murder mystery off.,Entertainment Quality
86,negative,The review expresses frustration with the repetition in the author's books and ultimately decides not to buy them.,0.9,Revise the book to eliminate repetitive phrasing and improve the narrative flow.,"Hesitant to buy: I am glad to hear I am not the only one who is driven crazy by the way she repeats the same things over and over again. It truly makes me not want to read her books. After reading the other readers' reviews, I have decided not to buy. I can do without the frustration.",Quality
